R_date,Latitude,Longitude,24/04/1995 12:00,24/04/2000 12:00,25/04/2005 12:00,26/04/2010 12:00,27/04/2015 12:00
DI028_B,26.17,88.65,56.31,56.6,56.24,56.21,55.77
DI029_B,26.19,88.75,53.08,54.67,53.36,52.93,54
DI031_C,26.06,88.69,48.7,49,48.63,48.35,48.4
DI032_C,26.1,88.73,51.8,51.83,51.73,51.6,51.81
DI033_B,26.27,88.72,58.58,59.21,58.09,57.26,59.66
DI034_B,25.57,88.67,25.19,25.49,25.23,24.76,24.92
DI035_B,25.6,88.64,32.93,33.89,33.62,33.45,33.14
DI036_B,25.77,88.64,37.25,37.85,37.34,37.03,36.98
DI037_B,25.95,88.67,38.55,39.21,39.25,39.04,39.26
DI038_B,26.01,88.62,39.35,39.43,39.36,38.85,38.06
DI039_D,25.82,88.6,35.96,36.92,36.36,37.06,36.65
DI040_B,25.65,88.69,34.88,35.91,35.45,35.61,35.69
DI041_B,25.7,88.78,34.19,33.24,34.58,34.21,34.28
DI042_B,25.71,88.84,38.69,38.69,38.5,38.37,38.56
DI043_B,25.65,88.81,36.6,36.92,39.3,37.11,36.65
DI044_B,25.76,88.85,32.84,33.79,34.59,33.81,33.2
DI045_B,25.81,88.68,32.7,33.07,32.44,32.52,
DI046_B,25.85,88.56,37.45,39.78,38.38,38.46,37.96
DI047_B,25.82,88.45,31.14,33.1,31.95,32.23,32.69
DI048_B,25.92,88.46,39.49,39.39,38.54,39.29,38.59
DI049_B,25.87,88.38,43.28,43.66,43.39,42.39,41.05
DI050_C,25.84,88.33,45.46,45.79,44.7,45.15,45.79
DI052_B,25.62,88.7,25.25,26.05,25.7,25.25,25.35
DI053_C,25.73,88.46,38.11,38.79,38.36,38.08,38.13
DI054_B,25.52,88.68,36.38,37.98,36.28,37.92,37.54
DI055_C,25.61,88.79,28.31,,28.21,27.48,27.52
DI056_C,25.62,88.95,31.24,31.02,30.82,30.6,30.08
DI057_C,25.46,88.88,22.92,22.45,21.37,20.63,20.59
DI058_B,25.4,88.93,21.29,21.21,21.14,20.8,23.33
DI059_C,25.29,89.07,17.24,18.13,17.61,17.1,17.78
DI061_C,25.7,88.52,30.85,31.15,30.92,30.47,30.83
DI062_B,25.95,88.25,39.13,39.4,39,38.92,39.3
DI063_C,25.75,88.71,21.87,24.44,21.39,20.39,20.97
DI064_B,25.54,88.73,25.75,26.7,26.1,,26.8
DI065_C,25.42,89.07,21.7,22.12,22.13,21.46,
DI066_B,25.59,88.9,28.3,29.38,28.61,28.15,28.1
DI067_B,25.48,88.93,24.6,25.54,24.86,23.71,23.88
DI068_A,25.96,88.51,42.75,44.08,45.1,44.08,43.6
DI069_B,25.84,88.16,20.08,21.44,20.99,20.89,21.38
DI070_B,26.59,88.41,97.54,97.7,97.82,97.2,97.33
DI071_B,26.54,88.39,89.22,89.27,89.65,89.1,89.14
DI072_B,25.97,88.51,43.76,43.69,43.78,,
DI074_B,26.01,88.5,57.09,58.19,57.7,57.3,57.75
DI076_C,26.41,88.65,74.07,74.13,,,74.27
DI077_B,25.69,88.91,27.69,27.64,27.34,,26.79
DI078_B,26.06,88.52,51.01,52.3,51.66,52.71,52.94
DI079_B,25.95,88.61,37.51,38.43,,37.8,38.58
DI080_B,25.87,88.72,31.88,31.59,32.6,32.94,31.43
DI081_B,26.07,88.27,,49.06,,49.34,49.51
DI082_B,26.02,88.46,46.85,46.97,46.9,46.66,46.54
DI083_A,26.47,88.5,84.87,84.53,84.27,83.76,83.91
DI084_B,25.54,88.63,31.21,31.89,31.32,30.19,30.44
DI085_B,25.65,88.69,,,,,27.51
DI086_A,25.92,88.36,43.33,43.87,42.68,41.52,41.13
DI087_B,25.92,88.46,40.26,40.71,40.14,39.79,38.31
DI088_B,25.9,88.78,43.5,43.8,43.55,42.76,43.15
DI089_B,25.88,88.24,42.11,40.92,41.62,,
DI090_B,25.29,89.23,18.42,18.71,18.6,,19.05
DI091_B,25.33,89.01,16.23,17.75,16.6,16.94,19.54
DI092_B,25.93,88.17,31.17,32.11,31.7,31.51,31.79
DI093_B,26.06,88.46,49.12,49.54,48.89,,49.33
DIS01_A,26.24,88.48,66.46,67.27,67.03,66.67,66.79
DIS02_A,26.15,88.32,46.74,47.7,46.83,47.4,47.52
DIS04_A,25.79,88.32,35.25,36.07,35.99,35.71,36.39
DIS05_A,25.59,88.54,,31.62,31.36,30.91,31.06
DIS06_A,25.79,88.5,,36.43,,,35.28
DIS07_A,25.86,88.48,35.72,36.59,36.14,35.82,36.35
DIS08_A,26.34,88.45,64.84,65.43,64.54,64.47,65.3
FA001_B,23.6,89.85,2.12,2.78,3.48,,3.58
FA002_B,23.72,89.66,4.11,4.63,4.08,3.33,4.43
FA003_B,23.76,89.64,4.37,4.95,4.61,3.89,4.35
FA004_B,23.74,89.62,2.88,4.38,3.48,2.07,5.38
FA005_B,23.61,89.59,-0.15,0.9,-0.55,-2.35,-1.85
FA006_B,23.6,89.57,2.04,3.09,2.58,0.73,1.99
FA007_B,23.77,89.41,4.1,5.31,4.5,,3.85
FA009_B,23.69,89.58,1.67,2.82,1.97,-0.63,2.97
FA010_B,23.73,89.56,1.41,2.16,1.67,,1.62
FA011_B,23.7,89.46,2.22,3.28,2.29,0.88,2.48
FA012_B,23.22,89.72,1.37,1.9,1.55,0.4,1
FA013_B,22.94,89.99,-0.74,0.16,-0.31,-0.44,0.06
FA014_B,23.87,89.39,2.38,2.64,1.96,1.87,2.27
FA015_B,23.78,89.5,3.38,3.23,3.13,1.03,1.43
FA016_B,23.68,89.71,2.7,3.32,2.77,2.32,2.92
FA017_B,23.55,89.78,1.82,2.32,2.5,1.4,2.28
FA018_B,23.37,89.67,1.81,3.36,2.84,1.29,1.77
FA019_B,23.47,90.05,2.05,3,2.45,1.45,2.15
FA020_A,23.4,89.96,0.55,1.19,0.78,-0.46,0.87
FA021_B,23.37,90.2,-0.31,-0.26,-0.33,,0.04
FA023_B,23.3,90.38,0.84,1.6,1.43,1.05,1.75
FA024_A,23.2,90.45,3.76,4,3.48,3.18,3.93
FA025_B,23.2,90.27,-0.09,1.5,1.15,,
FA026_A,23.32,89.87,0.31,2.05,0.3,,
FA027_A,23.12,89.91,0.65,1.02,0.91,0.2,
FA028_B,23.4,89.77,1.12,1.72,1.54,1.07,1.57
FA029_B,23.11,90.07,0.38,1.11,0.1,1.2,1.24
FA030_A,23.02,90.07,1.34,3.29,1.49,,1.91
FA031_B,23.2,90.03,0.39,-0.05,0.71,-0.78,2.47
FA032_B,23.19,89.86,0.98,1.36,1.01,-0.13,0.85
FA033_B,23.47,90.14,5,2.77,3.07,3.1,
FA036_A,23.07,90.2,0.71,0.92,1.05,0.55,
FA038_A,23.51,89.94,1.26,1.1,1.26,0.76,1.51
FA039_B,23.72,89.51,1.61,2.76,2.49,,2.51
FA040_B,23.74,89.75,3.77,4.11,3.7,3.01,3.65
FA041_B,23.77,89.61,2.65,4.06,7.63,4.95,5.18
FA043_B,23.42,89.73,1.47,2.45,1.87,1.15,1.8
FA044_B,23.48,89.88,-0.58,0.12,0.27,-0.93,0.13
FA046_A,23.44,89.79,0.11,0.82,1.32,,0.37
FA047_B,23.44,89.68,1.33,2.58,2.43,0.23,1.78
FA048_A,23.72,89.46,1.03,1.48,1.93,,
FA049_A,23.15,89.78,1.59,2.16,1.88,,1.73
FA052_A,23.22,90.36,2.32,3.36,3.12,3.17,
FA053_A,22.85,89.9,2.36,2.77,2.56,,
FA055_A,23.1,90,0.54,1.39,1.14,1.09,1.37
FA056_A,23.04,89.9,1.09,1.49,1.39,0.66,1.94
FA062_A,23.04,89.83,0.54,0.56,0.71,0.31,1.11
FA063_A,23.7,89.35,2.63,3.85,2.75,1.1,2.33
FS02_A,23.75,89.79,1.22,2.68,2.55,,
FS03_A,23.77,89.62,6.37,6,5.93,,
FS04_B,23.64,89.51,0.67,1.72,0.49,,0.54
FS06_A,23.39,89.69,1.07,1.85,1.17,0.49,1.97
FS07_A,23.39,89.64,0.77,1.78,0.96,0.42,1.32
FS08_A,23.5,89.71,0.72,1.62,0.97,0.27,0.87
FS09_A,23.71,89.78,-0.14,0.53,0.67,-0.64,-0.04
FS10_B,23.54,89.76,,11.2,11.45,11.3,
JA001_B,24.82,90.14,10.33,12.06,11.66,10.61,11.21
JA003_B,24.85,89.98,8.18,9.43,9.23,8.48,8.68
JA004_B,25.11,90.24,8.97,12.74,13.71,9.95,10.41
